Name,Difficulty,Score
Ihuoma,hard,12
Savadow,hard,14
Ihuoma,hard,1
Savadow,hard,9
Ihuoma,hard,1
Savadow,hard,6
Savadow,hard,25
Savadow,hard,4
Savadow,hard,55
Savadow,hard,24
Ihuoma,hard,63
Savadow,hard,29
Savadow,hard,8
Savadow,hard,58
Ihuoma,hard,57
Savadow,hard,2
Ihuoma,hard,19
Savadow,hard,18
Ihuoma,hard,33
Savadow,hard,25
Ihuoma,hard,72
Ihuoma,hard,39
Ihuoma,hard,1
Ihuoma,hard,28
Ihuoma,hard,93
Ihuoma,hard,14
Ihuoma,hard,9
Ihuoma,hard,23
Ihuoma,hard,24
Ihuoma,hard,2
Ihuoma,hard,7
Ihuoma,hard,9
